metric,label,counts,source,cumulative,granularity,caveat
bioc_downloads_monthly,Bioconductor downloads per month,Downloads recorded by Bioconductor for a package in a month.,bioconductor,false,month,"Includes CI runs, mirrors and container builds. Read the distinct-IP series instead. The current month is incomplete and is not plotted."
bioc_distinct_ips_monthly,Bioconductor distinct IPs per month,Distinct IP addresses downloading a package in a month.,bioconductor,false,month,"Closer to people than raw downloads, though it still is not a user count: everyone behind one institutional network collapses into a single address."
bioc_rank,Bioconductor download rank,Position in Bioconductor's published download score table.,bioconductor,true,none,Worth showing because it comes with a denominator.
package_downloads_total,"Registry downloads, all time","The registry's own lifetime download counter, for registries that publish one.",ecosystems,true,none,"A running total, never plotted per period. Of the registries here only Bioconductor publishes a lifetime figure. CRAN, npm and PyPI all report a rolling 30-day count instead, which is a different measure and is kept in its own series rather than added to this one. Maven Central publishes no download figure at all."
package_downloads_recent,"Registry downloads, last 30 days","Downloads in the last 30 days, as reported by registries that publish no lifetime counter.",ecosystems,false,none,"A rolling window, not a total, and it moves in both directions: a quiet month is lower than a busy one and that is not an error. Never added to the all-time figures above, which count a different thing over a different period."
registry_breadth,Registries published to,Distinct registries carrying an artefact built from a department repository.,ecosystems,true,none,"Says how many registries carry the software, not how much of it anyone downloads. Found by reverse lookup from the repository URL."
releases_by_year,Releases per year,"A tagged release of a project's repositories, from GitHub Releases and git tags.",github,false,year,"Tags count too. BridgeDb ships as a tag and BridgeDbR ships through Bioconductor, so a Releases-only count misses them."
repos_active,Repositories active in the last year,A project's repositories pushed to in the last 365 days.,github,true,none,A quiet repository is not a dead one. A finished tool needs no commits.
rsd_mentions,Papers mentioning the software,Works the Research Software Directory records as mentioning a tool.,rsd,true,none,"Computed by the NL eScience Center rather than here. It counts a tool being named in a paper's text, which is a much weaker signal than a citation, and it misses software that was used without being named at all."
docker_pulls_total,"Container pulls, all time",Docker Hub's lifetime pull counter for an image.,dockerhub,true,none,"One pull is not one user. A CI job rebuilding hourly pulls the base image every time, and a single pull of a multi-arch image can register more than once. Images published only to other registries are missing from this chart."
latest_release,Last release,The date of a project's most recent release or tag.,github,true,none,Old is not the same as abandoned. ArrayAnalysis has not moved since 2013 and is still cited.
paper_citations,Citations of the tool's papers,"Citations to every paper describing a tool, summed across its update papers.",citations,true,none,"Citing a software paper is not proof the software was used, and these are lifetime counts, so a 2003 paper reflects twenty years. Several of these tools are built by communities far larger than this department, and their citations belong to those communities too."
paper_citations_by_doi,Citations per paper,"Citations to one paper, from OpenAlex.",citations,true,none,"Every update paper is counted, because people cite whichever was current when they did the work."
package_dependents,Packages depending on it,"Other published packages that declare a dependency on one of these, as counted by the registry it is published in.",ecosystems,true,none,"Counts published packages only, so an analysis script or an unreleased application that depends on a tool is invisible here, and a registry sees only its own: the R packages built on BridgeDb do not appear beside its Maven artefacts. Reported because Maven Central publishes no download figures at all, and this is the number it does keep."
